Time			Process		PID	Message		
----------		-------		-----	-------
Apr 22 20:18:16 	kea-dhcp4 	90122 	INFO [kea-dhcp4.dhcpsrv.0x2785b6a12000] DHCPSRV_CFGMGR_ADD_IFACE listening on interface em1
Apr 22 20:18:16 	kea-dhcp4 	90122 	INFO [kea-dhcp4.dhcpsrv.0x2785b6a12000] DHCPSRV_CFGMGR_ADD_IFACE listening on interface em1.20
Apr 22 20:18:16 	kea-dhcp4 	90122 	INFO [kea-dhcp4.dhcpsrv.0x2785b6a12000] DHCPSRV_CFGMGR_ADD_IFACE listening on interface em1.10
Apr 22 20:18:16 	kea-dhcp4 	90122 	INFO [kea-dhcp4.dhcpsrv.0x2785b6a12000] DHCPSRV_CFGMGR_ADD_IFACE listening on interface em1.40
Apr 22 20:18:16 	kea-dhcp4 	90122 	INFO [kea-dhcp4.dhcpsrv.0x2785b6a12000] DHCPSRV_CFGMGR_ADD_IFACE listening on interface em1.30
Apr 22 20:18:16 	kea-dhcp4 	90122 	INFO [kea-dhcp4.dhcpsrv.0x2785b6a12000] DHCPSRV_CFGMGR_SOCKET_TYPE_DEFAULT "dhcp-socket-type" not specified , using default socket type raw
Apr 22 20:18:16 	kea-dhcp4 	90122 	INFO [kea-dhcp4.commands.0x2785b6a12000] COMMAND_ACCEPTOR_START Starting to accept connections via unix domain socket bound to /tmp/kea4-ctrl-socket
Apr 22 20:18:16 	kea-dhcp4 	90122 	INFO [kea-dhcp4.lease-cmds-hooks.0x2785b6a12000] LEASE_CMDS_INIT_OK loading Lease Commands hooks library successful
Apr 22 20:18:16 	kea-dhcp4 	90122 	INFO [kea-dhcp4.hooks.0x2785b6a12000] HOOKS_LIBRARY_LOADED hooks library /usr/local/lib/kea/hooks/libdhcp_lease_cmds.so successfully loaded
Apr 22 20:18:16 	kea-dhcp4 	90122 	INFO [kea-dhcp4.dhcp4.0x2785b6a12000] DHCP4_CONFIG_COMPLETE DHCPv4 server has completed configuration: added IPv4 subnets: 5; DDNS: disabled
Apr 22 20:18:16 	kea-dhcp4 	90122 	INFO [kea-dhcp4.dhcpsrv.0x2785b6a12000] DHCPSRV_MEMFILE_DB opening memory file lease database: name=/var/lib/kea/dhcp4.leases persist=true type=memfile universe=4
Apr 22 20:18:16 	kea-dhcp4 	90122 	INFO [kea-dhcp4.dhcpsrv.0x2785b6a12000] DHCPSRV_MEMFILE_LEASE_FILE_LOAD loading leases from file /var/lib/kea/dhcp4.leases
Apr 22 20:18:16 	kea-dhcp4 	90122 	INFO [kea-dhcp4.dhcpsrv.0x2785b6a12000] DHCPSRV_MEMFILE_EXTRACT_EXTENDED_INFO4 extracting extended info saw 1 leases, extended info sanity checks modified 0 / updated 0 leases and 0 leases have relay or remote id
Apr 22 20:18:16 	kea-dhcp4 	90122 	INFO [kea-dhcp4.dhcpsrv.0x2785b6a12000] DHCPSRV_MEMFILE_LFC_SETUP setting up the Lease File Cleanup interval to 3600 sec
Apr 22 20:18:16 	kea-dhcp4 	90122 	INFO [kea-dhcp4.dhcpsrv.0x2785b6a12000] DHCPSRV_CFGMGR_USE_ALLOCATOR using the iterative allocator for V4 leases in subnet 10.10.10.0/24
Apr 22 20:18:16 	kea-dhcp6 	90553 	INFO [kea-dhcp6.lease-cmds-hooks.0x2d36c2a12000] LEASE_CMDS_INIT_OK loading Lease Commands hooks library successful
Apr 22 20:18:16 	kea-dhcp4 	90122 	INFO [kea-dhcp4.dhcpsrv.0x2785b6a12000] DHCPSRV_CFGMGR_USE_ALLOCATOR using the iterative allocator for V4 leases in subnet 10.10.20.0/24
Apr 22 20:18:16 	kea-dhcp6 	90553 	INFO [kea-dhcp6.hooks.0x2d36c2a12000] HOOKS_LIBRARY_LOADED hooks library /usr/local/lib/kea/hooks/libdhcp_lease_cmds.so successfully loaded
Apr 22 20:18:16 	kea-dhcp4 	90122 	INFO [kea-dhcp4.dhcpsrv.0x2785b6a12000] DHCPSRV_CFGMGR_USE_ALLOCATOR using the iterative allocator for V4 leases in subnet 10.10.11.0/24
Apr 22 20:18:16 	kea-dhcp6 	90553 	INFO [kea-dhcp6.dhcp6.0x2d36c2a12000] DHCP6_CONFIG_COMPLETE DHCPv6 server has completed configuration: no IPv6 subnets!; DDNS: disabled
Apr 22 20:18:16 	kea-dhcp4 	90122 	INFO [kea-dhcp4.dhcpsrv.0x2785b6a12000] DHCPSRV_CFGMGR_USE_ALLOCATOR using the iterative allocator for V4 leases in subnet 10.10.40.0/24
Apr 22 20:18:16 	kea-dhcp6 	90553 	INFO [kea-dhcp6.dhcpsrv.0x2d36c2a12000] DHCPSRV_MEMFILE_DB opening memory file lease database: name=/var/lib/kea/dhcp6.leases persist=true type=memfile universe=6
Apr 22 20:18:16 	kea-dhcp4 	90122 	INFO [kea-dhcp4.dhcpsrv.0x2785b6a12000] DHCPSRV_CFGMGR_USE_ALLOCATOR using the iterative allocator for V4 leases in subnet 10.10.30.0/24
Apr 22 20:18:16 	kea-dhcp6 	90553 	INFO [kea-dhcp6.dhcpsrv.0x2d36c2a12000] DHCPSRV_MEMFILE_LEASE_FILE_LOAD loading leases from file /var/lib/kea/dhcp6.leases
Apr 22 20:18:16 	kea-dhcp6 	90553 	INFO [kea-dhcp6.dhcpsrv.0x2d36c2a12000] DHCPSRV_MEMFILE_BUILD_EXTENDED_INFO_TABLES6 building extended info tables saw 0 leases, extended info sanity checks modified 0 / updated 0 leases and 0 leases were entered into tables
Apr 22 20:18:16 	kea-dhcp6 	90553 	INFO [kea-dhcp6.dhcpsrv.0x2d36c2a12000] DHCPSRV_MEMFILE_LFC_SETUP setting up the Lease File Cleanup interval to 3600 sec
Apr 22 20:18:16 	kea-dhcp6 	90553 	INFO [kea-dhcp6.dhcp6.0x2d36c2a12000] DHCP6_USING_SERVERID server is using server-id 00:01:00:06:2f:9a:e6:b7:08:00:27:42:16:cf and stores in the file /var/db/kea/kea-dhcp6-serverid
Apr 22 20:18:16 	kea-dhcp6 	90553 	WARN [kea-dhcp6.dhcpsrv.0x2d36c2a12000] DHCPSRV_NO_SOCKETS_OPEN no interface configured to listen to DHCP traffic
Apr 22 20:18:16 	kea-dhcp6 	90553 	WARN [kea-dhcp6.dhcp6.0x2d36c2a12000] DHCP6_MULTI_THREADING_INFO enabled: yes, number of threads: 2, queue size: 64
Apr 22 20:18:16 	kea-dhcp4 	90122 	WARN [kea-dhcp4.dhcp4.0x2785b6a12000] DHCP4_MULTI_THREADING_INFO enabled: yes, number of threads: 2, queue size: 64
